state,year,metric,value
Andhra Pradesh,2019,FC Grant: Revenue Deficit,2498.88
Andhra Pradesh,2019,FC Grant: Rural Local Bodies,2038.52
Andhra Pradesh,2019,FC Grant: SDMF,0.0
Andhra Pradesh,2019,FC Grant: SDRF,324.15
Andhra Pradesh,2019,FC Grant: Urban Local Bodies,1019.26
Andhra Pradesh,2019,Grants in Aid,21875.96
Andhra Pradesh,2019,Motor Vehicle Tax,3278.75
Andhra Pradesh,2019,Non-Debt Capital Receipts,4355.23
Andhra Pradesh,2019,Non-Tax Revenue,3314.74
Andhra Pradesh,2019,SGST,20227.04
Andhra Pradesh,2019,SOTR,57600.93
Andhra Pradesh,2019,Sales/Trade Tax,21409.7
Andhra Pradesh,2019,Share in Union Taxes,28242.39
Andhra Pradesh,2019,Stamps & Registration,5318.26
Andhra Pradesh,2019,State Excise,6914.75
Andhra Pradesh,2019,Total Revenue Receipts,111034.02
Andhra Pradesh,2020,Capital: Internal Debt,157411.94
Andhra Pradesh,2020,Capital: Loan Recoveries,1063.07
Andhra Pradesh,2020,Capital: Loans from Centre,4562.73
Andhra Pradesh,2020,Capital: Misc Receipts,0.0
Andhra Pradesh,2020,Capital: Public Debt Receipts,161974.67
Andhra Pradesh,2020,FC Grant: Health,0.0
Andhra Pradesh,2020,FC Grant: Others,0.0
Andhra Pradesh,2020,FC Grant: Revenue Deficit,5896.92
Andhra Pradesh,2020,FC Grant: Rural Local Bodies,3793.28
Andhra Pradesh,2020,FC Grant: SDMF,0.0
Andhra Pradesh,2020,FC Grant: SDRF,1119.0
Andhra Pradesh,2020,FC Grant: Urban Local Bodies,767.0
Andhra Pradesh,2020,Grants in Aid,31871.910000000003
Andhra Pradesh,2020,Motor Vehicle Tax,2966.01
Andhra Pradesh,2020,Non-Debt Capital Receipts,1063.07
Andhra Pradesh,2020,Non-Tax Revenue,3395.15
Andhra Pradesh,2020,SGST,18871.35
Andhra Pradesh,2020,SOTR,57408.55
Andhra Pradesh,2020,Sales/Trade Tax,17800.14
Andhra Pradesh,2020,Share in Union Taxes,24460.59
Andhra Pradesh,2020,Stamps & Registration,5603.31
Andhra Pradesh,2020,State Excise,11575.08
Andhra Pradesh,2020,Total Revenue Receipts,117136.2
Andhra Pradesh,2021,Capital: Internal Debt,154714.18
Andhra Pradesh,2021,Capital: Loan Recoveries,2110.2
Andhra Pradesh,2021,Capital: Loans from Centre,4895.71
Andhra Pradesh,2021,Capital: Misc Receipts,-1.18
